id,panoid,lat,lon,year
0,NIaPIeovdkNBHVN5iVnztA,47.68025701,-122.2753828,2019
1,18eJo43CcDp-OYgv6WQ6_A,47.67967963,-122.2753626,2019
2,mPS-qH3BPKxmZSDx5pDl4g,47.68010789,-122.2754001,2019
3,RDxIDku0QLZJQuen7EU71Q,47.68040385,-122.2761727,2019
4,1vod9wfz0Zzziz5lteVUyQ,47.68040317,-122.2756421,2019
5,ti0JBP3Gvr6yMtM_2KF46A,47.53359999,-122.3360926,2019
6,iW1roUgFVX4ghSxGyfT-Ig,47.53248798,-122.3353276,2019
7,zxL9ARbg-UP2l_JW8cpdug,47.53292013,-122.3355355,2019
8,9GsHwbrIoSfeEAeqDmaQvQ,47.53331839,-122.3358242,2019
9,logw0oTjTkuDNgC8pWtzfw,47.53380353,-122.3362652,2019
10,PQ5fNfr_2GyFo6yQuP7Jig,47.57168224,-122.3394054,2019
11,Mjq_BIweL-2XY0PlrzrcSw,47.57176655,-122.3393046,2019
12,J_B1EgTJXUxDKPokLHgD2A,47.57221102,-122.3392808,2019
13,PkOotLcy5ptPUUEm4drbhA,47.5727357,-122.3393157,2019
14,do3fTG9zjX82icqmAFHBqg,47.57320938,-122.3392539,2019
15,4BrIun3lMZIlJfDBFb_n4w,47.5716902,-122.3367964,2019
16,pgkcPFl1O5cn4ZxBSUNrGA,47.57171114,-122.3371843,2014
17,85v7r_xsEQBW0RZw1CS16g,47.57172321,-122.3377816,2019
18,RAwiP12N7lSFo-KSGZMMfQ,47.57169857,-122.3382625,2019
19,OjsqXpcve8-c-70mxhyn4A,47.57169273,-122.3388289,2019
20,RoT-5-WvEaLy32hktrwnRQ,47.57168271,-122.3393096,2019
21,OMPdw-HzBO0iHo4eqR75WA,47.57370446,-122.3375534,2019
22,ohwxSOmGjPMTyILWBGB_aQ,47.57371288,-122.3380578,2019
23,cV_j8AQ8L-ZO2mW5ACOqtw,47.57370924,-122.3384822,2019
24,cP-mfeSJcXt_1j5NP5j2eg,47.57371036,-122.3389991,2019
25,FR-gHgMTfcmwETqDiX5qTQ,47.57371096,-122.339635,2019
