,GEOID10,TRACTCE10,BLKGRPCE10,NAMELSAD10,INTPTLAT10,INTPTLON10,TRACT,TRBG,TRBG_STR,ACRES_TOTA,ACRES_LAND,ACRES_WATE,WATER,TRFIPS,CFIPS,SFIPS,CSA,CSA_Name,CBSA,CBSA_Name,COUNTHU10,TOTPOP10,HH,WORKERS,AC_TOT,AC_WATER,AC_LAND,AC_UNPR,D2A_EPHHM,D2B_E8MIXA,D3b,D4a,D2A_Ranked,D2B_Ranked,D4A_Ranked,D3B_Ranked,WalkIndex,geometry,dis_ospace_m,SPEEDLIMIT,crim_50m,crim_100m,tree_10m,tree_50m
0,530330001001,000100,1,Block Group 1,+47.7276870,-122.2815160,100,100.10000000000001,100.1,588.28300232,221.04119962,367.28557726,0,000100,033,53,500,"Seattle-Tacoma-Olympia, WA",42660.0,"Seattle-Tacoma-Bellevue, WA",565.0,1250.0,528.0,590.0,588.32,379.41,208.921539307,208.922,0.241229,0.0,52.0608,749.121727304,5,1,15,11,9.667,"POLYGON ((-122.2683987857189 47.72640590544652, -122.2671907534257 47.71916190858195, -122.2671347511318 47.71882190855892, -122.2780357519708 47.7189218857409, -122.2793717530169 47.71906188302398, -122.2794737523732 47.71904688328334, -122.2800127537269 47.71914888153159, -122.2801907535325 47.71916688190328, -122.283216753138 47.71918987534448, -122.2832567537117 47.71921087508961, -122.283381753732 47.71923087490612, -122.2841057537621 47.71923287286729, -122.2847257534114 47.71921887197404, -122.28499275383 47.71920487144805, -122.2853297529406 47.71920787098346, -122.2853597528965 47.71920687094642, -122.2853497529289 47.7191778703494, -122.2853257526535 47.71903087113549, -122.2854817529701 47.71908887034952, -122.2857117534714 47.71915087009482, -122.2859277535196 47.71918986970718, -122.2862897531746 47.71921586898623, -122.2863267607817 47.72093186884086, -122.286367770494 47.72297486837304, -122.2864357854799 47.72641686717317, -122.2868627852241 47.72642086600703, -122.2882107851849 47.72643586375054, -122.2886707854034 47.72643986212621, -122.2895587849606 47.72644986051932, -122.2896067941212 47.72827886061505, -122.2896548022263 47.73009985956803, -122.2897048104298 47.73193185913391, -122.2897518176186 47.73373385941392, -122.2884278179618 47.73373086153236, -122.2870488174236 47.73372286477122, -122.2867098182975 47.73372586519989, -122.2863808174956 47.73372986623745, -122.2859558177696 47.73373386733066, -122.2858678172626 47.7337218674819, -122.285797817807 47.73368486714858, -122.2848858169526 47.73366086952672, -122.284880817789 47.73366086927651, -122.2847948175001 47.73365786966141, -122.2846048178488 47.73365186985998, -122.2844698180998 47.73364987038109, -122.2835318170234 47.73361387192274, -122.2819518167564 47.73361187562811, -122.2698068162265 47.73347890157675, -122.2697358150525 47.7331219022418, -122.2685847899084 47.72737090487944, -122.2684347869029 47.72662190531914, -122.2683987857189 47.72640590544652))",194.4503908191794,20.0,1.830188679245283,2.8645833333333335,1.75,2.4565217391304346
1,530330001002,000100,2,Block Group 2,+47.7293165,-122.2924690,100,100.2,100.2,71.25802986,71.26321504,0.0,0,000100,033,53,500,"Seattle-Tacoma-Olympia, WA",42660.0,"Seattle-Tacoma-Bellevue, WA",658.0,1234.0,591.0,571.0,71.2646408081,0.0,71.2646408081,71.2646,0.701257,0.743455,107.778,214.332118969,17,17,19,16,17.333,"POLYGON ((-122.2897048104298 47.73193185913391, -122.2896548022263 47.73009985956803, -122.2896067941212 47.72827886061505, -122.2895587849606 47.72644986051932, -122.2909067859171 47.72646385754337, -122.2922647861338 47.72647585486325, -122.2935707852778 47.72648685201216, -122.2941977861349 47.72649185084382, -122.2946107857723 47.72649584979127, -122.29640478532 47.7265108465006, -122.2964257919034 47.72790784583398, -122.2965018022981 47.73015084490186, -122.2960448020903 47.73018284640573, -122.2957808021731 47.73017284683187, -122.2954088024934 47.73011984787384, -122.2938518014073 47.7301168512133, -122.2936958013834 47.73011385156616, -122.2923118016246 47.73011385420951, -122.2923728093656 47.73194285328697, -122.292433818094 47.73375285274795, -122.2910968176715 47.73374185594689, -122.2897518176186 47.73373385941392, -122.2897048104298 47.73193185913391))",292.7631633602178,21.53846153846154,5.296296296296297,10.304347826086957,1.25,5.211267605633803
2,530330001003,000100,3,Block Group 3,+47.7228093,-122.2894558,100,100.3,100.3,91.6046287,91.61135474,0.0,0,000100,033,53,500,"Seattle-Tacoma-Olympia, WA",42660.0,"Seattle-Tacoma-Bellevue, WA",744.0,1337.0,691.0,682.0,91.6129684448,0.0,91.6129684448,91.613,0.518933,0.395334,72.2023,140.98344997,12,8,20,13,14.333,"POLYGON ((-122.2863267607817 47.72093186884086, -122.2862897531746 47.71921586898623, -122.2873337535228 47.71922486678978, -122.2885287541629 47.71923486437726, -122.2893377536784 47.71924086213794, -122.2907837538362 47.71925385963064, -122.2927297542649 47.71926485487206, -122.2927287572293 47.72019385516199, -122.2919877693863 47.72273185614887, -122.2929967703834 47.72289885434731, -122.2931907699231 47.72290185399879, -122.2929457720988 47.72344685396411, -122.292717775728 47.72408885406283, -122.2925487770298 47.72467685439205, -122.2924857790063 47.72492885432379, -122.2923147830159 47.72581485520704, -122.2922667848122 47.72625385522038, -122.2922647861338 47.72647585486325, -122.2909067859171 47.72646385754337, -122.2895587849606 47.72644986051932, -122.2886707854034 47.72643986212621, -122.2882107851849 47.72643586375054, -122.2868627852241 47.72642086600703, -122.2864357854799 47.72641686717317, -122.286367770494 47.72297486837304, -122.2863267607817 47.72093186884086))",221.5875577063556,22.894736842105264,11.65,10.766666666666667,1.6296296296296295,9.82
3,530330001004,000100,4,Block Group 4,+47.7319367,-122.2944531,100,100.4,100.4,31.23724489,31.23930937,0.0,0,000100,033,53,500,"Seattle-Tacoma-Olympia, WA",42660.0,"Seattle-Tacoma-Bellevue, WA",838.0,1492.0,769.0,642.0,31.2401580811,0.0,31.2401580811,31.2402,0.220866,0.528962,88.777,32.1214572247,4,11,20,15,14.167,"POLYGON ((-122.2923728093656 47.73194285328697, -122.2923118016246 47.73011385420951, -122.2936958013834 47.73011385156616, -122.2938518014073 47.7301168512133, -122.2954088024934 47.73011984787384, -122.2957808021731 47.73017284683187, -122.2960448020903 47.73018284640573, -122.2965018022981 47.73015084490186, -122.296549803231 47.73050184493228, -122.2965428105024 47.73197684456555, -122.2965328133729 47.73271384479139, -122.2965188184111 47.73378584434381, -122.2953048183677 47.73377584675055, -122.2951618182095 47.73377484766335, -122.2946908186148 47.73377084823203, -122.2938088180904 47.73376385019837, -122.292433818094 47.73375285274795, -122.2923728093656 47.73194285328697))",140.24317588545043,26.354166666666668,8.285714285714286,16.451612903225808,1.5,6.5
4,530330001005,000100,5,Block Group 5,+47.7229283,-122.2944374,100,100.5,100.5,56.95654581,56.96075559,0.0,0,000100,033,53,500,"Seattle-Tacoma-Olympia, WA",42660.0,"Seattle-Tacoma-Bellevue, WA",638.0,942.0,567.0,152.0,56.9617462158,0.0,56.9617462158,56.9617,0.770239,0.773583,58.9779,100.123037169,18,18,20,12,16.667,"POLYGON ((-122.2927287572293 47.72019385516199, -122.2927297542649 47.71926485487206, -122.2939067531259 47.71927085330461, -122.2952327532308 47.71927884984023, -122.2963137543131 47.71928484779061, -122.2963357613929 47.72109284752717, -122.296358769727 47.72289984739698, -122.2963817777828 47.7247038469533, -122.29640478532 47.7265108465006, -122.2946107857723 47.72649584979127, -122.2941977861349 47.72649185084382, -122.2935707852778 47.72648685201216, -122.2922647861338 47.72647585486325, -122.2922667848122 47.72625385522038, -122.2923147830159 47.72581485520704, -122.2924857790063 47.72492885432379, -122.2925487770298 47.72467685439205, -122.292717775728 47.72408885406283, -122.2929457720988 47.72344685396411, -122.2931907699231 47.72290185399879, -122.2929967703834 47.72289885434731, -122.2919877693863 47.72273185614887, -122.2927287572293 47.72019385516199))",270.2736147470586,26.148148148148145,21.24390243902439,44.459016393442624,1.6842105263157894,11.387096774193548
5,530330002001,000200,1,Block Group 1,+47.7290869,-122.2989162,200,200.1,200.1,101.79726849,101.80445171,0.0,0,000200,033,53,500,"Seattle-Tacoma-Olympia, WA",42660.0,"Seattle-Tacoma-Bellevue, WA",455.0,1086.0,429.0,515.0,101.806694031,0.0,101.806694031,101.807,0.471196,0.284447,159.276,298.304965276,10,7,18,19,15.167,"POLYGON ((-122.2963817777828 47.7247038469533, -122.296358769727 47.72289984739698, -122.2991207694094 47.72292084085085, -122.2991367784292 47.72472684088541, -122.299142781201 47.72544084071643, -122.2991507864208 47.72653484018245, -122.3005257858951 47.72654683735423, -122.3014877863594 47.72655483549038, -122.3015327892589 47.72714183488453, -122.3015637891794 47.72720583521516, -122.3017467902729 47.72758983426303, -122.3017887935 47.72837483473207, -122.3018187957743 47.72866283391662, -122.3019137970335 47.72893883393631, -122.3025608012299 47.72998183248465, -122.302097801964 47.73014883280038, -122.301944801997 47.73017183382038, -122.3019388038788 47.73041983357521, -122.3019338075301 47.73146583361837, -122.301941810633 47.73201183332068, -122.3019648178059 47.73368083273398, -122.301965817948 47.73373183236954, -122.3019538182949 47.73382983237884, -122.3005848180533 47.73381883608981, -122.2992288188541 47.73380783890719, -122.2978758183109 47.73379684108549, -122.2965188184111 47.73378584434381, -122.2965328133729 47.73271384479139, -122.2965428105024 47.73197684456555, -122.296549803231 47.73050184493228, -122.2965018022981 47.73015084490186, -122.2964257919034 47.72790784583398, -122.29640478532 47.7265108465006, -122.2963817777828 47.7247038469533))",400.21308656647903,20.93189964157706,1.9523809523809523,3.3333333333333335,1.2857142857142858,2.9285714285714284
6,530330002002,000200,2,Block Group 2,+47.7217900,-122.3028293,200,200.20000000000002,200.2,125.47193405,125.48085379,0.0,0,000200,033,53,500,"Seattle-Tacoma-Olympia, WA",42660.0,"Seattle-Tacoma-Bellevue, WA",590.0,1360.0,552.0,488.0,125.483345032,0.0,125.483345032,125.483,0.653133,0.770216,120.727,291.107640392,16,18,18,17,17.333,"POLYGON ((-122.2991367784292 47.72472684088541, -122.2991207694094 47.72292084085085, -122.296358769727 47.72289984739698, -122.2963357613929 47.72109284752717, -122.2963137543131 47.71928484779061, -122.2977017539958 47.71929084527729, -122.2978867537021 47.71929184459579, -122.2990897540438 47.71930084166868, -122.3002957541552 47.71930783983766, -122.3004777532875 47.71930883937213, -122.3018647533016 47.7193158363029, -122.302888754164 47.71932583453762, -122.3038367535183 47.71933383235844, -122.3045677545788 47.71934083052225, -122.3059197546039 47.71935282758009, -122.3064387536872 47.71935782673781, -122.3072717543802 47.7193648248135, -122.3091037538289 47.71938182084494, -122.3090957624485 47.72121482059946, -122.3090987631779 47.72134582090005, -122.3091417628784 47.72146482016053, -122.3092077634934 47.72155182076001, -122.3094007646509 47.72173582025484, -122.3083117708946 47.72322882137248, -122.3081067713157 47.72312182248656, -122.3078347709912 47.72303382279919, -122.3075907700588 47.72299282344516, -122.3072747703725 47.72298282417196, -122.3072757780076 47.72479382355737, -122.3059287778653 47.72478182655883, -122.3045717781403 47.7247698293173, -122.3032507786551 47.72475883175314, -122.3018917780634 47.72474983488373, -122.3005137778739 47.72473883796913, -122.2991367784292 47.72472684088541))",240.6427475948478,20.0,3.787878787878788,7.176470588235294,1.263157894736842,4.653333333333333
7,530330002003,000200,3,Block Group 3,+47.7279294,-122.3190327,200,200.3,200.3,244.11050196,244.12850248,0.0,0,000200,033,53,500,"Seattle-Tacoma-Olympia, WA",42660.0,"Seattle-Tacoma-Bellevue, WA",826.0,1509.0,781.0,692.0,244.133071899,0.0,244.133071899,244.133,0.299188,0.599991,43.4775,574.898751234,6,12,16,10,11.667,"POLYGON ((-122.3126747942778 47.72845881138768, -122.3126507869231 47.72662081179274, -122.3131397867364 47.72671381039702, -122.3134917872005 47.72673980984036, -122.3136987871088 47.72674580955015, -122.3138597868914 47.72674380950203, -122.3139547868493 47.72672580852552, -122.3140407864063 47.7266938087129, -122.3141427869269 47.72664180897983, -122.3154567861252 47.72664380570603, -122.3163017862394 47.72665280362086, -122.316794786418 47.72668280310033, -122.316734787873 47.72700580319191, -122.3167757889537 47.72713480238559, -122.3168877885345 47.72715180257785, -122.317011788678 47.72713780194908, -122.3173507886856 47.72703980125461, -122.3176717874754 47.7269118009656, -122.3178017878244 47.72681880033598, -122.3179177863844 47.72669380042102, -122.3179617862366 47.72659280074789, -122.3181037787574 47.72488780074904, -122.3181117729103 47.72357780095478, -122.3181137702542 47.72306880164373, -122.3181147707612 47.72300980090758, -122.3181157694137 47.7228298012185, -122.3181187661427 47.72221780169505, -122.3181207646719 47.72189780122525, -122.3181237621583 47.72126280156863, -122.3181257603278 47.72089780216004, -122.3181297582057 47.72023280215023, -122.3181327556759 47.71974480259198, -122.3181337545322 47.71944980240387, -122.3208627540299 47.71946779643337, -122.3235917546341 47.71948579083929, -122.3235777628252 47.72130278998634, -122.323570766797 47.72231379012209, -122.3235687681035 47.72257079020491, -122.3235647710088 47.72309478942881, -122.3235587745234 47.72386178910541, -122.3235517787689 47.72493478873317, -122.3235158063316 47.73118478708844, -122.3235198078594 47.73152578717845, -122.32353481315 47.7326777870166, -122.3235498137469 47.73287178615895, -122.3235738149818 47.73317878626365, -122.3235878198736 47.73405378576716, -122.322217818924 47.73404078874526, -122.3207998190092 47.73402779222228, -122.3181158191867 47.73400279759643, -122.3167588189608 47.73398980060435, -122.3154418190153 47.73397680387506, -122.3127488190335 47.73395180988359, -122.3127238110355 47.73212581005592, -122.3126998021857 47.73029981058491, -122.31267779515 47.72871381149665, -122.3126747942778 47.72845881138768))",115.97491361350059,25.79004329004329,4.148936170212766,5.34375,1.588235294117647,8.27710843373494
8,530330002004,000200,4,Block Group 4,+47.7286592,-122.3101784,200,200.4,200.4,93.21931376,93.22618841,0.0,0,000200,033,53,500,"Seattle-Tacoma-Olympia, WA",42660.0,"Seattle-Tacoma-Bellevue, WA",576.0,1053.0,541.0,469.0,93.23,0.0,93.2279434204,93.2279,0.577734,0.664936,130.457,269.915220623,13,14,18,18,16.5,"POLYGON ((-122.3072417880648 47.72690182304153, -122.3072357857525 47.72658782308703, -122.3072767857439 47.72658782305557, -122.3072757780076 47.72479382355737, -122.3072747703725 47.72298282417196, -122.3075907700588 47.72299282344516, -122.3078347709912 47.72303382279919, -122.3081067713157 47.72312182248656, -122.3083117708946 47.72322882137248, -122.3090877736864 47.72368482044611, -122.3108707775503 47.72473281567785, -122.311211778857 47.72492781560157, -122.3124617807907 47.72525681270911, -122.3126557802487 47.72530781168135, -122.3126507869231 47.72662081179274, -122.3126747942778 47.72845881138768, -122.31267779515 47.72871381149665, -122.3126998021857 47.73029981058491, -122.3127238110355 47.73212581005592, -122.3127488190335 47.73395180988359, -122.310046818462 47.73392081548421, -122.308694818167 47.73390581820654, -122.3086948181743 47.7338548182025, -122.3086938184128 47.73380781814829, -122.3086808127213 47.73253081819892, -122.3086778108618 47.73220781859371, -122.3086768105689 47.73208281889902, -122.3086578028482 47.73025981885435, -122.3086387938339 47.7284208201945, -122.307266793958 47.72840682221764, -122.3072517896858 47.72750782306736, -122.3072417880648 47.72690182304153))",284.52194315554715,20.0,3.888888888888889,5.319587628865979,1.75,5.631578947368421
9,530330002005,000200,5,Block Group 5,+47.7227588,-122.3139286,200,200.5,200.5,121.03976077,121.04852457,0.0,0,000200,033,53,500,"Seattle-Tacoma-Olympia, WA",42660.0,"Seattle-Tacoma-Bellevue, WA",698.0,1324.0,669.0,739.0,121.05,0.0,121.04,113.554,0.257215,0.627978,98.7176,114.719246375,5,13,20,16,15.0,"POLYGON ((-122.3154567861252 47.72664380570603, -122.3141427869269 47.72664180897983, -122.3140407864063 47.7266938087129, -122.3139547868493 47.72672580852552, -122.3138597868914 47.72674380950203, -122.3136987871088 47.72674580955015, -122.3134917872005 47.72673980984036, -122.3131397867364 47.72671381039702, -122.3126507869231 47.72662081179274, -122.3126557802487 47.72530781168135, -122.3124617807907 47.72525681270911, -122.311211778857 47.72492781560157, -122.3108707775503 47.72473281567785, -122.3090877736864 47.72368482044611, -122.3083117708946 47.72322882137248, -122.3094007646509 47.72173582025484, -122.3092077634934 47.72155182076001, -122.3091417628784 47.72146482016053, -122.3090987631779 47.72134582090005, -122.3090957624485 47.72121482059946, -122.3091037538289 47.71938182084494, -122.3099747537956 47.71938981960924, -122.3108907545166 47.71939781695433, -122.3113267541607 47.7194018164648, -122.3119727540237 47.71942481486559, -122.3126787541671 47.71943781391327, -122.3140427540926 47.71943981098027, -122.3147947547023 47.71942880908614, -122.3154067544452 47.71943180796647, -122.3161737547198 47.71943680651441, -122.3170007545346 47.71944180458729, -122.317359755268 47.71950280371748, -122.3176797551513 47.71958380287296, -122.3181327556759 47.71974480259198, -122.3181297582057 47.72023280215023, -122.3181257603278 47.72089780216004, -122.3181237621583 47.72126280156863, -122.3181207646719 47.72189780122525, -122.3181187661427 47.72221780169505, -122.3181157694137 47.7228298012185, -122.3181147707612 47.72300980090758, -122.3181137702542 47.72306880164373, -122.3181117729103 47.72357780095478, -122.3181037787574 47.72488780074904, -122.3179617862366 47.72659280074789, -122.3179177863844 47.72669380042102, -122.3178017878244 47.72681880033598, -122.3176717874754 47.7269118009656, -122.3173507886856 47.72703980125461, -122.317011788678 47.72713780194908, -122.3168877885345 47.72715180257785, -122.3167757889537 47.72713480238559, -122.316734787873 47.72700580319191, -122.316794786418 47.72668280310033, -122.3163017862394 47.72665280362086, -122.3154567861252 47.72664380570603))",227.6478211612664,21.138888888888893,3.8461538461538463,8.027777777777779,1.3571428571428572,7.666666666666667
